ISSR_LGL_NAME,MarketingName,State,image_url_1
Southern Farm Bureau Life Insurance Company,,TX,http://www.insurancelevel.com/company/logo/farm-bureau-insurance.gif
Unified Life Insurance Company,,SC,http://www.texaskidsfirst.com/images/ULIC-Logo.jpg
American National Life Insurance Company of Texas,,MD,http://www.moodyinsurancegroup.com/wp-content/uploads/2012/05/ANICO-logo_color_RGB.jpg
BEST Life and Health Insurance Company,BEST Life,HI,http://hersheys.newslinevine.com/images/full/best_life_logo.jpg
GTECH Corporatopn,GTECH Corporation,RI,http://caribbeanresumes.com/files/imagecache/employer-logo/logo/GTECH%20logo.JPG
Union Security Insurance Company,Assurant Health,TX,http://www.rehabilitation-center.org/wp-content/uploads/2012/08/Assurant-Health.jpg
Principal Life Insurance Company,Principal Life Insurance Company,IN,http://acceleratemn.com/wp-content/uploads/2012/03/principal+financial.jpg
Guarantee Trust Life Insurance Company,,PA,http://www.refugeinsurance.com/images/GTL%20logo.jpg
Prudential Insurance Company of America,,IA,http://www.trademarkia.com/logo-images/prudential-insurance-company-of-america/prudential-center-77077075.jpg
PacificSource Health Plans,,OR,https://inc.memberclicks.net/assets/other-org-logos/pacificsource.jpg
Perico Life Insurance Company,,IL,http://www.trademarkia.com/services/logo.ashx?sid=85113855
World Insurance Company,,ND,"http://1-ps.googleusercontent.com/h/www.world-insurance-companies.com/uploads/9/1/6/6/9166349/x8305192.jpg,q1379368825.pagespeed.ic.QmX5Mmz2d-.jpg"
Connecticut General Life Insurance Company,,NE,http://www.insurancelevel.com/company/logo/cigna.jpg
Nationwide Life Insurance Company,,MA,http://asppamarketingkit.org/wp-content/uploads/2014/09/Nationwide_insurance_logo.jpg
"Humana Insurance Company of Kentucky, Inc. ",,TN,http://www.insuranceproviders.com/Images/360healthbystate_doc_647d9071.jpg
TriVentures Inc,Aquent,MA,http://www.isaacewing.com/images/aquent.png
Kanawha Insurance Company ,Humana,WA,http://www.wilsonfiquettdental.com/wp-content/uploads/2013/03/humana-logo.jpg
"Freelancers CO-OP of New Jersey, Inc.",Health Republic Insurance of New Jersey,NJ,http://www.conferenceny.com/uploads/logos/Health-Republic-Logo1.jpg
Union Fidelity Life Insurance Company,,DE,http://www.trademarkia.com/logo-images/financial-holding-corporation/united-fidelity-life-insurance-company-85646975.jpg
Wilton Reassurance Company,,DE,http://www.freekymonkey.com/pictures/aa676a.JPG
Transamerica Life Insurance Company,,IA,http://www.medicaremall.com/wp-content/uploads/2011/02/transamerica-logo.png
Guardian Life Insurance Company of America,Guardian,ID,http://icould.com/files/2012/01/guardian-logo.jpg
"CareFirst BlueChoice, Inc.",CareFirst BlueChoice,VA,https://provider.carefirst.com/carefirst-resources/css/images/logo.carefirst.png
Central United Life Insurance Company,,MO,http://www.manhattanlife.com/Portals/0/LayerSlider3D/490/cul.png
The United States Life Ins. Co. in the City of New York,,KS,http://logonoid.com/images/transamerica-logo.png
"Humana Insurance Company of Kentucky, Inc. ",,MI,http://www.insuranceproviders.com/Images/360healthbystate_doc_647d9071.jpg
Mid-West National Life Insurance Company of Tennessee,,TN,"http://i.ebayimg.com/t/VINTAGE-PROMO-GIVE-AWAY-NATIONAL-LIFE-AND-ACCIDENT-INSURANCE-COMPANY-SEWING-KIT-/00/s/MTYwMFgxNDcw/$(KGrHqNHJBEE9ps,tP3nBPb!PMG0u!~~60_57.JPG"
Washington National Insurance Company,,WV,http://www.indeed.com/cmp/_s/logos/2617e9b5ae6ef4a6
American Alternative Insurance Corp,"Allied National, Inc.",OH,https://pbs.twimg.com/profile_images/1894070731/allied_logo.jpg
Freedom Life Insurance,,NE,http://www.mdpreferredservices.com/images/profiles/F55F-E-CMYK.jpg
"Delta Dental of New York, Inc.",,NY,http://goodlogo.com/images/logos/small/delta_dental_logo_2728.gif
Thrivent Financial for Lutherans,,AR,http://2.bp.blogspot.com/_DmtdGP6kzMQ/S7jkzluNHnI/AAAAAAAAN44/0tUqR9RpOBw/s1600/logo-ThriventFinancial.gif
Thrivent Financial for Lutherans,,CA,http://2.bp.blogspot.com/_DmtdGP6kzMQ/S7jkzluNHnI/AAAAAAAAN44/0tUqR9RpOBw/s1600/logo-ThriventFinancial.gif
Seneca Foods Corporation,Seneca Foods Corporation,NY,http://www.senecafoods.com/sites/default/files/logo.png
Transamerica Life Insurance Company,,SC,http://www.medicaremall.com/wp-content/uploads/2011/02/transamerica-logo.png
Knights of Columbus,,CT,https://keenforgod.files.wordpress.com/2014/12/kofc-logo-jpg.jpg
The Union Labor Life Insurance Company,,OH,http://thumb1.shutterstock.com/display_pic_with_logo/1018532/185226650/stock-vector-customer-care-care-for-employees-labor-union-crm-and-life-insurance-concepts-businessman-185226650.jpg
American Republic Insurance Company,,DE,http://www.americanrepublic.com/images/aric-logo.png
Life of America,,OK,https://upload.wikimedia.org/wikipedia/en/thumb/5/57/Feminists_For_Life_of_America_logo.svg/800px-Feminists_For_Life_of_America_logo.svg.png
Prudential Insurance Company of America,,MO,http://www.trademarkia.com/logo-images/prudential-insurance-company-of-america/prudential-center-77077075.jpg
Kentucky Health Cooperative,West Virginia Health Cooperative,WV,http://photos.prnewswire.com/prnvar/20140520/89478
Trustmark Insurance Company,,NM,http://www.insurersreviewservices.com/carrier_logos/trustmark.gif
United of Omaha Life Insurance Company,,NV,https://www.immediateannuities.com/images/logos-insco/united-omaha.jpg
Oscar Health Plan of California,Oscar,CA,http://randomcelebs.com/wp-content/uploads/2015/02/Oscars-2015-Logo-8.jpg
Unified Life Insurance Company,,PA,http://www.texaskidsfirst.com/images/ULIC-Logo.jpg
National Foundation Life Insurance Company,,RI,https://ektron.nationallifegroup.com/uploadedImages/Logo_NationalLifeGroup.jpg
